gender	arch1	prog1	arch2	prog2
m	99.00	98.00	83.00	94.00
m	NA	NA	86.00	77.00
m	97.00	97.00	92.00	93.00
m	99.00	97.00	95.00	96.00
m	89.00	92.00	86.00	94.00
m	91.00	97.00	91.00	97.00
m	100.00	88.00	96.00	85.00
f	86.00	82.00	89.00	87.00
m	89.00	88.00	65.00	84.00
m	85.00	90.00	83.00	85.00
m	50.00	91.00	84.00	93.00
m	96.00	71.00	56.00	83.00
f	98.00	80.00	81.00	94.00
m	96.00	76.00	59.00	84.00
m	73.00	72.00	91.00	87.00
m	67.00	82.00	80.00	77.00
m	80.00	85.00	94.00	72.00
m	91.00	76.00	85.00	84.00
m	89.00	81.00	77.00	81.00
m	77.00	81.00	88.00	91.00
m	71.00	82.00	59.00	79.00
m	84.00	81.00	88.00	77.00
m	95.00	83.00	92.00	63.00
m	3.00	87.00	56.00	76.00
f	95.00	65.00	63.00	82.00
f	NA	NA	91.00	65.00
m	59.00	79.00	73.00	82.00
m	95.00	83.00	49.00	69.00
m	80.00	80.00	87.00	72.00
m	97.00	92.00	98.00	96.00
m	81.00	89.00	41.00	57.00
m	77.00	70.00	51.00	71.00
m	69.00	74.00	83.00	68.00
m	82.00	79.00	57.00	45.00
f	85.00	66.00	56.00	67.00
m	87.00	68.00	56.00	78.00
m	88.00	76.00	47.00	61.00
m	83.00	76.00	41.00	65.00
m	51.00	67.00	49.00	79.00
f	76.00	63.00	57.00	76.00
m	88.00	64.00	48.00	53.00
m	61.00	53.00	54.00	61.00
m	83.00	60.00	56.00	49.00
m	90.00	78.00	81.00	50.00
m	40.00	67.00	53.00	68.00
m	92.00	61.00	47.00	64.00
m	76.00	69.00	44.00	59.00
m	72.00	61.00	62.00	56.00
f	77.00	53.00	48.00	60.00
m	58.00	52.00	50.00	73.00
m	63.00	62.00	40.00	48.00
m	48.00	73.00	74.00	53.00
m	40.00	75.00	43.00	52.00
m	40.00	40.00	48.00	62.00
m	75.00	67.00	40.00	45.00
f	49.00	61.00	49.00	44.00
m	54.00	47.00	43.00	52.00
m	56.00	55.00	44.00	55.00
m	75.00	40.00	40.00	51.00
m	64.00	86.00	50.00	81.00
f	88.00	40.00	43.00	83.00
m	82.00	66.00	51.00	63.00
m	73.00	64.00	28.00	54.00
f	59.00	28.00	60.00	51.00
m	74.00	57.00	45.00	61.00
m	45.00	69.00	35.00	40.00
m	70.00	52.00	40.00	43.00
m	74.00	29.00	44.00	52.00
m	43.00	25.00	31.00	14.00
m	49.00	69.00	40.00	24.00
m	45.00	29.00	32.00	25.00
m	74.00	71.00	40.00	46.00
m	46.00	56.00	50.00	28.00
m	56.00	52.00	42.00	57.00
m	16.00	33.00	16.00	9.00
m	21.00	25.00	26.00	12.00
m	47.00	56.00	43.00	16.00
m	77.00	60.00	47.00	62.00
m	27.00	40.00	37.00	6.00
m	74.00	13.00	40.00	18.00
f	16.00	14.00	NA	NA
m	14.00	31.00	14.00	20.00
m	23.00	54.00	48.00	NA
m	83.00	76.00	58.00	75.00
f	NA	15.00	16.00	NA
m	45.00	40.00	40.00	61.00
m	40.00	28.00	26.00	9.00
m	48.00	27.00	23.00	16.00
m	91.00	89.00	6.00	73.00
f	50.00	27.00	22.00	11.00
m	77.00	82.00	45.00	65.00
m	49.00	49.00	36.00	31.00
m	96.00	84.00	48.00	29.00
f	21.00	29.00	25.00	5.00
m	61.00	40.00	34.00	11.00
m	50.00	19.00	41.00	NA
f	68.00	74.00	30.00	48.00
m	50.00	40.00	51.00	56.00
m	69.00	59.00	25.00	40.00
m	60.00	36.00	40.00	28.00
f	43.00	14.00	NA	NA
m	43.00	30.00	40.00	14.00
m	47.00	68.00	43.00	34.00
f	60.00	47.00	40.00	NA
m	40.00	68.00	57.00	75.00
m	45.00	26.00	38.00	6.00
m	45.00	31.00	NA	NA
f	31.00	21.00	32.00	8.00
m	49.00	12.00	24.00	14.00
m	87.00	40.00	40.00	32.00
m	40.00	76.00	49.00	17.00
f	8.00	29.00	15.00	14.00
m	62.00	46.00	50.00	31.00
m	14.00	21.00	NA	NA
m	7.00	25.00	27.00	7.00
m	16.00	27.00	25.00	7.00
m	73.00	51.00	48.00	23.00
m	56.00	54.00	49.00	25.00
m	46.00	64.00	13.00	19.00
